Producto,Precio,Descripción,Foto
Dinosaurio,$2.000,"Dinosaurio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_3142.jpg
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4408.JPG
Hipopótamo,$2.000,"Hipopótamo de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4439.JPG
Dinosaurio,$2.000,"Dinosaurio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4413.JPG
Elefante,$2.000,"Elefante de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4437.JPG
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4409.JPG
Dragón,$2.000,"Dragón chino de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4446.JPG
Narval,$2.000,"Narval de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4415.JPG
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_3143.jpg
Chancho,$2.000,"Chancho parado de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4441.JPG
Perro Terrier Escocés,$2.000,"Perro raza terrier escocés de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4436.JPG
Tortuga,$2.000,"Tortuga de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4440.JPG
León,$2.000,"León de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4448.JPG
Gatito,$2.000,"Gatito con corazón de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_3144.jpg
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4412.JPG
Hipopótamo Bailarina,$2.000,"Hipopótamo bailarina de ballet de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4435.JPG
Perrito,$2.000,"Perrito con manchitas de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_3145.jpg
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4414.JPG
Jirafa,$2.000,"Jirada de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4444.JPG
Caballo,$2.000,"Caballo de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4410.JPG
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_3146.jpg
Buho,$2.000,"Buho de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_3147.jpg
