Producto,Precio,Descripción,Foto
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4408.JPG
Hipopótamo,$2.000,"Hipopótamo de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4439.JPG
Dinosaurio,$2.000,"Dinosaurio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4413.JPG
Elefante,$2.000,"Elefante de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4437.JPG
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4409.JPG
Dragón,$2.000,"Dragón chino de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4446.JPG
Narval,$2.000,"Narval de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4415.JPG
Chancho,$2.000,"Chancho parado de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4441.JPG
Perro Terrier Escocés,$2.000,"Perro raza terrier escocés de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4436.JPG
Tortuga,$2.000,"Tortuga de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4440.JPG
León,$2.000,"León de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4448.JPG
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4412.JPG
Hipopótamo Bailarina,$2.000,"Hipopótamo bailarina de ballet de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4435.JPG
Unicornio,$2.000,"Unicornio de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4414.JPG
Jirafa,$2.000,"Jirada de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4444.JPG
Caballo,$2.000,"Caballo de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4410.JPG
